"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"KYN","Kayne Anderson MLP/Midstream Investment Company","14.85","1876106142.9","n/a","2004","n/a","n/a","https://old.nasdaq.com/symbol/kyn",
"KYN^F","Kayne Anderson MLP/Midstream Investment Company","25.07","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/kyn^f",
"KB","KB Financial Group Inc","37.12","14463226515.2","n/a","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/kb",
"KBH","KB Home","30.22","2666194011.24","n/a","1986","Capital Goods","Homebuilding","https://old.nasdaq.com/symbol/kbh",
"KBR","KBR, Inc.","25.78","3649281429.22","n/a","2006","Basic Industries","Military/Government/Technical","https://old.nasdaq.com/symbol/kbr",
"FRAC","Keane Group, Inc.","6.27","658248432.27","n/a","2017","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/frac",
"K","Kellogg Company","63.35","21579032385.4","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/k",
"KEM","Kemet Corporation","19.78","1147745774.6","n/a","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/kem",
"KMPR","Kemper Corporation","75.69","5042365996.95","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/kmpr",
"KMT","Kennametal Inc.","32.43","2674243016.73","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/kmt",
"KW","Kennedy-Wilson Holdings Inc.","22.23","3168540512.28","n/a","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/kw",
"KEN","Kenon Holdings Ltd.","19.7","1060386955.3","n/a","2015","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/ken",
"KDP","Keurig Dr Pepper Inc.","27.55","38755938972.3","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/kdp",
"KEG","Key Energy Services, Inc.","1.48","30213473.32","n/a","2016","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/keg",
"KEY","KeyCorp","18.27","18329538294.27","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/key",
"KEY^I","KeyCorp","28.245","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/key^i",
"KEY^J","KeyCorp","26.07","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/key^j",
"KEY^K","KeyCorp","26.02","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/key^k",
"KEYS","Keysight Technologies Inc.","99.58","18701124000","n/a","2014","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/keys",
"KRC","Kilroy Realty Corporation","76","7673874660","n/a","1997","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/krc",
"KRP","Kimbell Royalty Partners","14.3","670791221.1","n/a","2017","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/krp",
"KMB","Kimberly-Clark Corporation","132.41","45567083907.93","n/a","n/a","Consumer Durables","Containers/Packaging","https://old.nasdaq.com/symbol/kmb",
"KIM","Kimco Realty Corporation","20.12","8492599808.72","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/kim",
"KIM^I.CL","Kimco Realty Corporation","n/a","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/kim^i.cl",
"KIM^J","Kimco Realty Corporation","25.32","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/kim^j",
"KIM^K.CL","Kimco Realty Corporation","n/a","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/kim^k.cl",
"KIM^L","Kimco Realty Corporation","25.2099","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/kim^l",
"KIM^M","Kimco Realty Corporation","25.77","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/kim^m",
"KMI","Kinder Morgan, Inc.","20.47","46340091338.62","n/a","2011","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/kmi",
"KFS","Kingsway Financial Services, Inc.","2.78","62216894.84","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/kfs",
"KGC","Kinross Gold Corporation","4.72","5911992094.56","n/a","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/kgc",
"KEX","Kirby Corporation","82.89","4965276780","n/a","n/a","Consumer Services","Marine Transportation","https://old.nasdaq.com/symbol/kex",
